2022-03-27 13:03:151 INFO  HomePage :51 - clicking on innovatefinance : [[ChromeDriver: chrome on WINDOWS (1e3f4951eb270ad92a332d4e443a18c5)] -> xpath: //div[@class='section section--featured section--dash-btm section--dash-side section--thirds']//a[normalize-space()='Innovate Finance Global Summit']]
2022-03-27 13:03:674 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 13:03:634 INFO  HomePage :37 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (649ee922eb0745b3dd88ab416649c2e7)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 13:03:798 INFO  HomePage :42 - mousehover on Resources : [[ChromeDriver: chrome on WINDOWS (649ee922eb0745b3dd88ab416649c2e7)] -> xpath: //span[@class='navigation__list__label']//span[contains(text(),'Resources')]]
2022-03-27 13:03:302 INFO  HomePage :47 - click on events : [[ChromeDriver: chrome on WINDOWS (649ee922eb0745b3dd88ab416649c2e7)] -> link text: Events]
2022-03-27 13:03:766 INFO  HomePage :51 - clicking on innovatefinance : [[ChromeDriver: chrome on WINDOWS (649ee922eb0745b3dd88ab416649c2e7)] -> xpath: //div[@class='section section--featured section--dash-btm section--dash-side section--thirds']//a[normalize-space()='Innovate Finance Global Summit']]
2022-03-27 13:03:539 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 13:03:672 INFO  HomePage :37 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (bffe8bf458117556d719a77a2a285771)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 13:03:888 INFO  HomePage :42 - mousehover on Resources : [[ChromeDriver: chrome on WINDOWS (bffe8bf458117556d719a77a2a285771)] -> xpath: //span[@class='navigation__list__label']//span[contains(text(),'Resources')]]
2022-03-27 13:03:405 INFO  HomePage :47 - click on events : [[ChromeDriver: chrome on WINDOWS (bffe8bf458117556d719a77a2a285771)] -> link text: Events]
2022-03-27 13:03:489 INFO  HomePage :51 - clicking on innovatefinance : [[ChromeDriver: chrome on WINDOWS (bffe8bf458117556d719a77a2a285771)] -> xpath: //div[@class='section section--featured section--dash-btm section--dash-side section--thirds']//a[normalize-space()='Innovate Finance Global Summit']]
2022-03-27 13:03:718 INFO  ManageDriver :29 - Launching Chrome Browser
2022-03-27 13:03:855 INFO  HomePage :37 - clicking on acceptcookies button : [[ChromeDriver: chrome on WINDOWS (59d13619ea3dbb892585b0490647db4b)] -> xpath: //button[@id='CybotCookiebotDialogBodyLevelButtonLevelOptinAllowAll']]
2022-03-27 13:03:05 INFO  HomePage :42 - mousehover on Resources : [[ChromeDriver: chrome on WINDOWS (59d13619ea3dbb892585b0490647db4b)] -> xpath: //span[@class='navigation__list__label']//span[contains(text(),'Resources')]]
2022-03-27 13:03:340 INFO  HomePage :47 - click on events : [[ChromeDriver: chrome on WINDOWS (59d13619ea3dbb892585b0490647db4b)] -> link text: Events]
2022-03-27 13:03:729 INFO  HomePage :51 - clicking on innovatefinance : [[ChromeDriver: chrome on WINDOWS (59d13619ea3dbb892585b0490647db4b)] -> xpath: //div[@class='section section--featured section--dash-btm section--dash-side section--thirds']//a[normalize-space()='Innovate Finance Global Summit']]
